episode,total_reward
1,4103.54942889
2,4103.56000767
3,4103.54325336
4,4103.57284655
5,4103.55485969
6,3008.46862717
7,4652.62397989
8,3830.1272692
9,3283.08350983
10,3556.39740196
11,3831.24051453
12,2460.18565723
13,4926.45555503
14,9058.2359525
15,2734.54400279
16,2734.10728159
17,3280.91874245
18,2187.3353429
19,1914.1225008
20,3006.66290101
21,2734.03062869
22,2734.35395257
23,2461.37427714
24,2460.86954429
25,3007.43911374
26,2461.25356277
27,4101.41966738
28,2734.34194192
29,2460.96322703
30,2461.26741226
31,2460.58774382
32,3281.57755703
33,2187.43889487
34,2187.01131266
35,1640.5230432
36,1913.6590898
37,1913.60705196
38,1640.09181705
39,1640.04741159
40,1640.33475929
41,1640.30407791
42,1640.12700718
43,1913.10833217
44,15094.7345636
45,2733.09882585
46,1913.43366865
47,1640.08280248
48,1639.98644394
49,1640.14646245
50,1913.55433488
51,2186.56760036
52,2460.03603961
53,1640.21073454
54,1640.26455357
55,1913.48994914
56,1913.66097767
57,1913.94776992
58,2460.80067692
59,3555.34049274
60,3830.22993955
61,9295.58057895
62,3283.65830548
63,3556.25480092
64,3282.24499893
65,2187.75784274
66,1914.65162237
67,2187.82173478
68,2188.24134478
69,5474.86248216
70,5475.72590823
71,3280.60259369
72,2186.76749459
73,3006.45197331
74,1640.01035232
75,1913.44606153
76,2186.76331234
77,1640.10151756
78,2186.60441306
79,2187.15829978
80,4647.98517571
81,1913.50014091
82,2733.81472523
83,3008.39446324
84,3009.07869284
85,3009.15199865
86,4653.63520559
87,4103.26221291
88,2460.56169152
89,2460.20560925
90,1913.42020481
91,1366.93174185
92,1366.75624879
93,1366.7473667
94,1366.77889759
95,1366.70486644
96,1366.68857405
97,1366.69066771
98,1366.69790218
99,1639.88166306
100,1639.93943968
101,1639.97932279
102,1640.04671571
103,1640.08269871
104,1913.37327004
105,1640.03096741
106,1640.01056323
107,1913.52044659
108,1913.57078678
109,1913.56084678
110,2733.6188956
111,2186.6044345
112,1913.58100302
113,1913.35475118
114,1913.40003105
115,1913.5830898
116,1640.34073357
117,1913.56740697
118,1913.75994907
119,2187.23010515
120,2460.83790523
121,2734.57760817
122,2734.53261896
123,2460.60308085
124,2187.25775637
125,1913.51543194
126,1640.13489171
127,1640.14232037
128,1640.10979289
